comentario,tokens_limpios,features
"Excelente en todos los aspectos, concuerda tal la descripción.Quede muy satisfecho con el producto y lo volveré a pedir","['excelente', 'aspectos', 'concuerda', 'tal', 'descripciónquede', 'satisfecho', 'producto', 'volveré', 'pedir']",[0. 0. 0. ... 0. 0. 0.]
Es de excelente calidad te deja la piel con textura de terciopelo🤩,"['excelente', 'calidad', 'deja', 'piel', 'textura', 'terciopelo']",[0. 0. 0. ... 0. 0. 0.]
"Recomendado, me deja la cara mate y ya no requiere base de maquillaje","['recomendado', 'deja', 'cara', 'mate', 'requiere', 'base', 'maquillaje']",[0. 0. 0. ... 0. 0. 0.]
Es idéntica al de la foto,"['idéntica', 'foto']",[0. 0. 0. ... 0. 0. 0.]
"Excelente producto, use el q no tiene color. A1","['excelente', 'producto', 'use', 'q', 'color']",[0. 0. 0. ... 0. 0. 0.]
Buena calidad Original,"['buena', 'calidad', 'original']",[0. 0. 0. ... 0. 0. 0.]
"El tamaño corresponde, vino muy bien empaquetado, se noto que cuidaron bien el producto","['tamaño', 'corresponde', 'vino', 'bien', 'empaquetado', 'noto', 'cuidaron', 'bien', 'producto']",[0. 0. 0. ... 0. 0. 0.]
Es igual a la foto y de muy buena calidad. Me gustó mucho.,"['igual', 'foto', 'buena', 'calidad', 'gustó']",[0. 0. 0. ... 0. 0. 0.]
La calidad es buena muy recomendable,"['calidad', 'buena', 'recomendable']",[0. 0. 0. ... 0. 0. 0.]
"La compre para probar me gusta su textura, pero aún me sigue gustando mas la que no tiene color.","['compre', 'probar', 'gusta', 'textura', 'aún', 'sigue', 'gustando', 'mas', 'color']",[0. 0. 0. ... 0. 0. 0.]
"Es tal cual a la foto , pero siento que no llena más expectativas, en cuanto al producto .","['tal', 'foto', 'siento', 'llena', 'expectativas', 'cuanto', 'producto']",[0. 0. 0. ... 0. 0. 0.]
Visualmente es muy llamativo pero suele crearse en mi piel un poco de grumos,"['visualmente', 'llamativo', 'suele', 'crearse', 'piel', 'grumos']",[0. 0. 0. ... 0. 0. 0.]
Es tal cual la foto y deja tu piel suave pero me deja un poquito blanca,"['tal', 'foto', 'deja', 'piel', 'suave', 'deja', 'poquito', 'blanca']",[0. 0. 0. ... 0. 0. 0.]
"Efecto mate, no me deja oleoso como otros. Uso la de color y soy de piel blanca. Unifica mi piel.","['efecto', 'mate', 'deja', 'oleoso', 'uso', 'color', 'piel', 'blanca', 'unifica', 'piel']",[0. 0. 0. ... 0. 0. 0.]
"Es de muy buena calidad, de verdad deja acabado aterciopelado y se adapta a tu piel","['buena', 'calidad', 'verdad', 'deja', 'acabado', 'aterciopelado', 'adapta', 'piel']",[0. 0. 0. ... 0. 0. 0.]
"Es igual a la foto y lo recomiendo ya que es de muy buena calidad, me encanta.","['igual', 'foto', 'recomiendo', 'buena', 'calidad', 'encanta']",[0. 0. 0. ... 0. 0. 0.]
"El producto es igual a la foto, es de buena calidad","['producto', 'igual', 'foto', 'buena', 'calidad']",[0. 0. 0. ... 0. 0. 0.]
Este buena calidad. Buen precio y el producto es de una textura muy ligera,"['buena', 'calidad', 'buen', 'precio', 'producto', 'textura', 'ligera']",[0. 0. 0. ... 0. 0. 0.]
"Es muy bueno, incluso mejor de lo que espere, se ve más grande que en la foto y sobre todo lo amo porque tiene una cobertura increíble y él efecto Matte uy ni hablar, gracias a este producto no volveré a utilizar maquillaje y lo mejor de todo es que cuida muy bien mi piel de los rayos de sol que son los causantes de las arrugas y las manchas en la piel, hoy en día es más que importante cuidar de nuestra piel ya que enviaremos el envejecimiento a temprana edad y nada mejor que hacerlo con productos de buena calidad, valió la pena el precio 😊
Leer más","['bueno', 'incluso', 'mejor', 'espere', 've', 'grande', 'foto', 'amo', 'cobertura', 'increíble', 'efecto', 'matte', 'uy', 'hablar', 'gracias', 'producto', 'volveré', 'utilizar', 'maquillaje', 'mejor', 'cuida', 'bien', 'piel', 'rayos', 'sol', 'causantes', 'arrugas', 'manchas', 'piel', 'hoy', 'día', 'importante', 'cuidar', 'piel', 'enviaremos', 'envejecimiento', 'temprana', 'edad', 'mejor', 'hacerlo', 'productos', 'buena', 'calidad', 'valió', 'pena', 'precio']",[0. 0. 0. ... 0. 0. 0.]
"Me encantó el bloqueador de Frezyderm! Muy aparte de su protección y control de brillo, cumple la función de una base. Por otro lado la presentación es súper linda y tiene un seguro en la parte superior, lo que me ha permitido llevarlo en mi bolso sin sufrir derrames.","['encantó', 'bloqueador', 'frezyderm', 'aparte', 'protección', 'control', 'brillo', 'cumple', 'función', 'base', 'lado', 'presentación', 'súper', 'linda', 'seguro', 'parte', 'superior', 'permitido', 'llevarlo', 'bolso', 'sufrir', 'derrames']",[0. 0. 0. ... 0. 0. 0.]
Si es de buena calidad,"['si', 'buena', 'calidad']",[0. 0. 0. ... 0. 0. 0.]
Cumple con las expectativas,"['cumple', 'expectativas']",[0. 0. 0. ... 0. 0. 0.]
Es el mejor bloqueador que hasta ahora he usado.,"['mejor', 'bloqueador', 'ahora', 'usado']",[0. 0. 0. ... 0. 0. 0.]
"Vale totalmente el precio,de los mejores que he probado","['vale', 'totalmente', 'preciode', 'mejores', 'probado']",[0. 0. 0. ... 0. 0. 0.]
"Cumple con sus funciones, dejando una piel linda","['cumple', 'funciones', 'dejando', 'piel', 'linda']",[0. 0. 0. ... 0. 0. 0.]
Es el mejor bloqueador con color,"['mejor', 'bloqueador', 'color']",[0. 0. 0. ... 0. 0. 0.]
Totalmente recomendable.,"['totalmente', 'recomendable']",[0. 0. 0. ... 0. 0. 0.]
Buena cobertura y fácil aplicación,"['buena', 'cobertura', 'fácil', 'aplicación']",[0. 0. 0. ... 0. 0. 0.]
"El color se adecua a la piel, se siente ligero y es toque mate.","['color', 'adecua', 'piel', 'ligero', 'toque', 'mate']",[0. 0. 0. ... 0. 0. 0.]
El tamaño es como indican sus funciones son muy buena la piel te deja como de porcelana y se adapta al color de mi piel y llego el tiempo que indicaron. Buen producto y servicio,"['tamaño', 'indican', 'funciones', 'buena', 'piel', 'deja', 'porcelana', 'adapta', 'color', 'piel', 'llego', 'tiempo', 'indicaron', 'buen', 'producto', 'servicio']",[0. 0. 0. ... 0. 0. 0.]
"Es igual a la foto, tien excelente cobertura y calidad.","['igual', 'foto', 'tien', 'excelente', 'cobertura', 'calidad']",[0. 0. 0. ... 0. 0. 0.]
"Buen producto, buena pigmentación","['buen', 'producto', 'buena', 'pigmentación']",[0. 0. 0. ... 0. 0. 0.]
ya que te deja la piel super bonita y te protege me encantoo,"['deja', 'piel', 'super', 'bonita', 'protege', 'encantoo']",[0. 0. 0. ... 0. 0. 0.]
Es el mejor bloqueador q he tenido hasta el momento lo tengo usando 5 años y es perfecto para mí piel,"['mejor', 'bloqueador', 'q', 'momento', 'usando', 'años', 'perfecto', 'piel']",[0. 0. 0. ... 0. 0. 0.]
"Me encanta este producto, es de buena calidad y muy buena cobertura","['encanta', 'producto', 'buena', 'calidad', 'buena', 'cobertura']",[0. 0. 0. ... 0. 0. 0.]
El producto es de muy buena calidad,"['producto', 'buena', 'calidad']",[0. 0. 0. ... 0. 0. 0.]
"El tamaño corresponde, deja un muy buen acabado aterciopelado","['tamaño', 'corresponde', 'deja', 'buen', 'acabado', 'aterciopelado']",[0. 0. 0. ... 0. 0. 0.]
Todo correspondia con la descripción,"['correspondia', 'descripción']",[0. 0. 0. ... 0. 0. 0.]
"Es de excelente calidad, pero si vendieran en la tienda fuera genial, sólo se consigue el producto por compra Internet","['excelente', 'calidad', 'si', 'vendieran', 'tienda', 'genial', 'sólo', 'consigue', 'producto', 'compra', 'internet']",[0. 0. 0. ... 0. 0. 0.]
Muy buena calidad super recomendado,"['buena', 'calidad', 'super', 'recomendado']",[0. 0. 0. ... 0. 0. 0.]
"Es tal cual a la foto, el producto tiene una textura perfecta que se adapta muy bien al rostro sin dejarlo grasoso","['tal', 'foto', 'producto', 'textura', 'perfecta', 'adapta', 'bien', 'rostro', 'dejarlo', 'grasoso']",[0. 0. 0. ... 0. 0. 0.]
El producto es Tal cual se describe,"['producto', 'tal', 'describe']",[0. 0. 0. ... 0. 0. 0.]
Buena calidad y tal cual,"['buena', 'calidad', 'tal']",[0. 0. 0. ... 0. 0. 0.]
Me encanta el producto,"['encanta', 'producto']",[0. 0. 0. ... 0. 0. 0.]
"Es, muy ligero, adecuado para piel grasa, de muy buena calidad 👌","['ligero', 'adecuado', 'piel', 'grasa', 'buena', 'calidad']",[0. 0. 0. ... 0. 0. 0.]
Es de excelente calidad ya la uso 5 años,"['excelente', 'calidad', 'uso', 'años']",[0. 0. 0. ... 0. 0. 0.]
buena textura del protector solar! amé,"['buena', 'textura', 'protector', 'solar', 'amé']",[0. 0. 0. ... 0. 0. 0.]
"Muy buena calidad, efecto mate, no deja brillante la piel. Me gustó mucho.","['buena', 'calidad', 'efecto', 'mate', 'deja', 'brillante', 'piel', 'gustó']",[0. 0. 0. ... 0. 0. 0.]
"Llegó en el tiempo determinado, el producto en óptimas condiciones e igual a la imagen referencial","['llegó', 'tiempo', 'determinado', 'producto', 'óptimas', 'condiciones', 'igual', 'imagen', 'referencial']",[0. 0. 0. ... 0. 0. 0.]
Textura ligera y con color. Recomendado,"['textura', 'ligera', 'color', 'recomendado']",[0. 0. 0. ... 0. 0. 0.]
"Me encantó, he probado tantos bloqueadores de color! Pero este ha sido increíble desde el primer día de uso, mi piel es sensible y se adaptó muy bien","['encantó', 'probado', 'tantos', 'bloqueadores', 'color', 'sido', 'increíble', 'primer', 'día', 'uso', 'piel', 'sensible', 'adaptó', 'bien']",[0. 0. 0. ... 0. 0. 0.]
El producto es lo que quería y lleno mis expectativas,"['producto', 'quería', 'lleno', 'expectativas']",[0. 0. 0. ... 0. 0. 0.]
"Textura de una base, muy suave, color adaptable al de mi piel, apto para piel grasa en mi opinión, excelente producto, no volvería a protectores solares con textura ligera, producto igual al de la imagen.","['textura', 'base', 'suave', 'color', 'adaptable', 'piel', 'apto', 'piel', 'grasa', 'opinión', 'excelente', 'producto', 'volvería', 'protectores', 'solares', 'textura', 'ligera', 'producto', 'igual', 'imagen']",[0. 0. 0. ... 0. 0. 0.]
"El tamaño es como indica la foto, la calidad es muy buena y vale la pena invertir.","['tamaño', 'indica', 'foto', 'calidad', 'buena', 'vale', 'pena', 'invertir']",[0. 0. 0. ... 0. 0. 0.]
Es el mejor bloqueador solar,"['mejor', 'bloqueador', 'solar']",[0. 0. 0. ... 0. 0. 0.]
Deja efecto mate súper bueno,"['deja', 'efecto', 'mate', 'súper', 'bueno']",[0. 0. 0. ... 0. 0. 0.]
Se absorbe rápido y deja un acabo excelente!,"['absorbe', 'rápido', 'deja', 'acabo', 'excelente']",[0. 0. 0. ... 0. 0. 0.]
"Tiene una textura ligera y deja la piel tersa y suave, aclara la piel, me gusta.","['textura', 'ligera', 'deja', 'piel', 'tersa', 'suave', 'aclara', 'piel', 'gusta']",[0. 0. 0. ... 0. 0. 0.]
"Conozco el producto desde antes, todo estuvo muy bien","['conozco', 'producto', 'bien']",[0. 0. 0. ... 0. 0. 0.]
"Ya lo usé anteriormente , y sigue siendo igual de útil que la primera vez , es muy fácil de usar y ayuda a que mi piel se vea mejor, lo recomiendo","['usé', 'anteriormente', 'sigue', 'siendo', 'igual', 'útil', 'primera', 'vez', 'fácil', 'usar', 'ayuda', 'piel', 'vea', 'mejor', 'recomiendo']",[0.         0.         0.         ... 0.         0.         0.31781021]
"El tamaño excelente, muy buen producto","['tamaño', 'excelente', 'buen', 'producto']",[0. 0. 0. ... 0. 0. 0.]
me gusto el acabado del bloqueador además de que el color es versátil para todo tipo de piel y en tamaño corresponde al de la publicación,"['gusto', 'acabado', 'bloqueador', 'además', 'color', 'versátil', 'tipo', 'piel', 'tamaño', 'corresponde', 'publicación']",[0. 0. 0. ... 0. 0. 0.]
Producto igual a la foto,"['producto', 'igual', 'foto']",[0. 0. 0. ... 0. 0. 0.]
Tiene muy buena cobertura y textura,"['buena', 'cobertura', 'textura']",[0. 0. 0. ... 0. 0. 0.]
"Muy bueno, recomendado al 100%","['bueno', 'recomendado']",[0. 0. 0. ... 0. 0. 0.]
"Todo bien embalado, con las caracteristicas bien especificas del producti","['bien', 'embalado', 'caracteristicas', 'bien', 'especificas', 'producti']",[0. 0. 0. ... 0. 0. 0.]
es un producto super practico y deja tu piel hermosa,"['producto', 'super', 'practico', 'deja', 'piel', 'hermosa']",[0. 0. 0. ... 0. 0. 0.]
"El producto es bueno, deja la piel con acabado mate, y suave.","['producto', 'bueno', 'deja', 'piel', 'acabado', 'mate', 'suave']",[0. 0. 0. ... 0. 0. 0.]
no es grasoso cobertura completa,"['grasoso', 'cobertura', 'completa']",[0. 0. 0. ... 0. 0. 0.]
Excelente producto siempre lo compro Ahora en Falabella con precio de descuento,"['excelente', 'producto', 'siempre', 'compro', 'ahora', 'falabella', 'precio', 'descuento']",[0. 0. 0. ... 0. 0. 0.]
"se adecuó a mi tono de piel , muy satisfecho","['adecuó', 'tono', 'piel', 'satisfecho']",[0. 0. 0. ... 0. 0. 0.]
tal como la foto y la especificación,"['tal', 'foto', 'especificación']",[0. 0. 0. ... 0. 0. 0.]
"Todo bien, es la segunda vez que pido ese producto","['bien', 'segunda', 'vez', 'pido', 'producto']",[0. 0. 0. ... 0. 0. 0.]
Es muy buena calidad deja la piel aporcelanada,"['buena', 'calidad', 'deja', 'piel', 'aporcelanada']",[0. 0. 0. ... 0. 0. 0.]
"Lo amo, es el mejor me deja la piel suavecita y tersa.","['amo', 'mejor', 'deja', 'piel', 'suavecita', 'tersa']",[0. 0. 0. ... 0. 0. 0.]
"Es perfecto, te deja la piel mate, no se corre, y tranquilamente lo puedes usar como base de maquillaje","['perfecto', 'deja', 'piel', 'mate', 'corre', 'tranquilamente', 'puedes', 'usar', 'base', 'maquillaje']",[0. 0. 0. ... 0. 0. 0.]
Esta a muy buen precio,"['buen', 'precio']",[0. 0. 0. ... 0. 0. 0.]
Excelente. El mejor protector que he comprado,"['excelente', 'mejor', 'protector', 'comprado']",[0. 0. 0. ... 0. 0. 0.]
"Muy buen producto, efecto mate y lo mejor me llegó al día siguiente 🤗","['buen', 'producto', 'efecto', 'mate', 'mejor', 'llegó', 'día', 'siguiente']",[0. 0. 0. ... 0. 0. 0.]
"Muy buena, buena textura, fácil transporte.","['buena', 'buena', 'textura', 'fácil', 'transporte']",[0. 0. 0. ... 0. 0. 0.]
"me ayuda mucho para mi rosacea , ya no uso maquillaje","['ayuda', 'rosacea', 'uso', 'maquillaje']",[0. 0. 0. ... 0. 0. 0.]
Me encanta su textura da un acabado de polvo y el de color se camufla muy bien al color de piel ni muy blanco ni moreno,"['encanta', 'textura', 'da', 'acabado', 'polvo', 'color', 'camufla', 'bien', 'color', 'piel', 'blanco', 'moreno']",[0. 0. 0. ... 0. 0. 0.]
"La pigmentación se adecuó muy bien a mi piel, aun siendo morena! Eso normalmente no pasa","['pigmentación', 'adecuó', 'bien', 'piel', 'aun', 'siendo', 'morena', 'normalmente', 'pasa']",[0. 0. 0. ... 0. 0. 0.]
"Buen producto, llegó en buen estado","['buen', 'producto', 'llegó', 'buen']",[0. 0. 0. ... 0. 0. 0.]
"Me encantó , llevo probando diferentes bloqueadores con color desde hace años y este ha sido el mejor. La tienda me envió de regalo esponjas para el rostro","['encantó', 'llevo', 'probando', 'diferentes', 'bloqueadores', 'color', 'hace', 'años', 'sido', 'mejor', 'tienda', 'envió', 'regalo', 'esponjas', 'rostro']",[0. 0. 0. ... 0. 0. 0.]
"Igual a la foto, buena calidad , me llegó con un regalito","['igual', 'foto', 'buena', 'calidad', 'llegó', 'regalito']",[0. 0. 0. ... 0. 0. 0.]
El producto llegó tal y como dice en la descripción.,"['producto', 'llegó', 'tal', 'dice', 'descripción']",[0. 0. 0. ... 0. 0. 0.]
"Tamaño corresponde, buena calidad","['tamaño', 'corresponde', 'buena', 'calidad']",[0. 0. 0. ... 0. 0. 0.]
"Súper recomendado, te queda la piel linda","['súper', 'recomendado', 'queda', 'piel', 'linda']",[0. 0. 0. ... 0. 0. 0.]
"Es igual a la foto, el tamaño se me hizo muy bueno y la calidad del producto es bastante buena","['igual', 'foto', 'tamaño', 'hizo', 'bueno', 'calidad', 'producto', 'bastante', 'buena']",[0. 0. 0. ... 0. 0. 0.]
"Es un excelente bloqueador que te protege y cubre las imperfecciones en un hermoso efecto mate , de gran textura terciopelada. El tamaño corresponde a la cantidad tiene un envase bonito, es igual a la foto publicada. Un buen producto que recomiendo siempre 🥰","['excelente', 'bloqueador', 'protege', 'cubre', 'imperfecciones', 'hermoso', 'efecto', 'mate', 'gran', 'textura', 'terciopelada', 'tamaño', 'corresponde', 'cantidad', 'envase', 'bonito', 'igual', 'foto', 'publicada', 'buen', 'producto', 'recomiendo', 'siempre']",[0. 0. 0. ... 0. 0. 0.]
"muy buena la experiencia con el producto Frezyderm, cumple con todo lo prometido","['buena', 'experiencia', 'producto', 'frezyderm', 'cumple', 'prometido']",[0. 0. 0. ... 0. 0. 0.]
siempre uso ese producto que es buenísima calida,"['siempre', 'uso', 'producto', 'buenísima', 'calida']",[0. 0. 0. ... 0. 0. 0.]
"Es igual al de la foto , y me gusta la textura","['igual', 'foto', 'gusta', 'textura']",[0. 0. 0. ... 0. 0. 0.]
"Este bloqueador con color es el mejor que he probado hasta ahora, tiene gran textura y acabo","['bloqueador', 'color', 'mejor', 'probado', 'ahora', 'gran', 'textura', 'acabo']",[0. 0. 0. ... 0. 0. 0.]
"Buena, buen control solar y tomo de piel","['buena', 'buen', 'control', 'solar', 'tomo', 'piel']",[0. 0. 0. ... 0. 0. 0.]
"Si es igual que la foto, su presentación igual y hermosa, el tamaño perfecto y la cantidad que indica, porque viene con su tapa de seguridad","['si', 'igual', 'foto', 'presentación', 'igual', 'hermosa', 'tamaño', 'perfecto', 'cantidad', 'indica', 'viene', 'tapa', 'seguridad']",[0. 0. 0. ... 0. 0. 0.]
Me encanto este producto,"['encanto', 'producto']",[0. 0. 0. ... 0. 0. 0.]
Me toros dos veces el color que no ers o sea din color,"['toros', 'dos', 'veces', 'color', 'ers', 'din', 'color']",[0. 0. 0. ... 0. 0. 0.]
Es perfecto para mi no te deja grasosa la piel,"['perfecto', 'deja', 'grasosa', 'piel']",[0. 0. 0. ... 0. 0. 0.]
Es muy ligero protege muy bien es precios para pieles con piel grasa o tendencia al acne,"['ligero', 'protege', 'bien', 'precios', 'pieles', 'piel', 'grasa', 'tendencia', 'acne']",[0. 0. 0. ... 0. 0. 0.]
Es de muy buena calidad y el tamaño corresponde a la foto,"['buena', 'calidad', 'tamaño', 'corresponde', 'foto']",[0. 0. 0. ... 0. 0. 0.]
Publicado originalmente en falabella.com,"['publicado', 'originalmente', 'falabellacom']",[0. 0. 0. ... 0. 0. 0.]
"Buena calidad, ligero, no deja manchas, pequeño formato pero bien para su calidad","['buena', 'calidad', 'ligero', 'deja', 'manchas', 'pequeño', 'formato', 'bien', 'calidad']",[0. 0. 0. ... 0. 0. 0.]
Los colores y variedad de productos. La tienda siempre limpia y ordenada,"['colores', 'variedad', 'productos', 'tienda', 'siempre', 'limpia', 'ordenada']",[0. 0. 0. ... 0. 0. 0.]
Recomendado para piel sensible,"['recomendado', 'piel', 'sensible']",[0. 0. 0. ... 0. 0. 0.]
Este protector solar es muy bueno. Absorve muy rápido y protege bastante de los rayos solares,"['protector', 'solar', 'bueno', 'absorve', 'rápido', 'protege', 'bastante', 'rayos', 'solares']",[0. 0. 0. ... 0. 0. 0.]
El tamaño es igual a la foto y tiene una textura liguera que me encanta en la piel,"['tamaño', 'igual', 'foto', 'textura', 'liguera', 'encanta', 'piel']",[0. 0. 0. ... 0. 0. 0.]
El producto es super bueno en epecial para pieles sensibles.,"['producto', 'super', 'bueno', 'epecial', 'pieles', 'sensibles']",[0. 0. 0. ... 0. 0. 0.]
Usamos todos en la familia,"['usamos', 'familia']",[0. 0. 0. ... 0. 0. 0.]
"Marca muy reconocida y perfecta para la piel, llevo un tiempo con este bloqueador y me va de maravilla","['marca', 'reconocida', 'perfecta', 'piel', 'llevo', 'tiempo', 'bloqueador', 'va', 'maravilla']",[0. 0. 0. ... 0. 0. 0.]
"Excelente para mi piel, producto funciona perfecto con maquillaje :-)","['excelente', 'piel', 'producto', 'funciona', 'perfecto', 'maquillaje']",[0. 0. 0. ... 0. 0. 0.]
"Es un fotoprotector facial de uso diario que destaca por su textura ultraligera y de rápida absorción. Me gusta esta versión porque su fórmula es oil-free y no comedogénica, lo que lo hace apto incluso para pieles grasas o con tendencia acneica.","['fotoprotector', 'facial', 'uso', 'diario', 'destaca', 'textura', 'ultraligera', 'rápida', 'absorción', 'gusta', 'versión', 'fórmula', 'oilfree', 'comedogénica', 'hace', 'apto', 'incluso', 'pieles', 'grasas', 'tendencia', 'acneica']",[0. 0. 0. ... 0. 0. 0.]
Es bueno y de gran calidad,"['bueno', 'gran', 'calidad']",[0. 0. 0. ... 0. 0. 0.]
"No es primera vez que lo compro, es maravilloso, no deja la piel oleosa, se adapta bien a otros productos (no deja piel efecto borrador con otros)","['primera', 'vez', 'compro', 'maravilloso', 'deja', 'piel', 'oleosa', 'adapta', 'bien', 'productos', 'deja', 'piel', 'efecto', 'borrador']",[0. 0. 0. ... 0. 0. 0.]
"Es igual a la descripción, muy buen producto para la cara","['igual', 'descripción', 'buen', 'producto', 'cara']",[0. 0. 0. ... 0. 0. 0.]
"El tamaño corresponde (es un poco más pequeño que la caja) pero es la medida justa ya que alcanza para usarlo a diario durante aprox 6 meses. Buena calidad, protector fluido especial para pieles sensibles","['tamaño', 'corresponde', 'pequeño', 'caja', 'medida', 'justa', 'alcanza', 'usarlo', 'diario', 'aprox', 'meses', 'buena', 'calidad', 'protector', 'fluido', 'especial', 'pieles', 'sensibles']",[0. 0. 0. ... 0. 0. 0.]
ES MUY BUENO Y NO DEJA LA CARA BRILLANTE,"['bueno', 'deja', 'cara', 'brillante']",[0. 0. 0. ... 0. 0. 0.]
"Pillé el producto en oferta, todo bien, lo que esperaba, bloqueador recomendado.","['pillé', 'producto', 'oferta', 'bien', 'esperaba', 'bloqueador', 'recomendado']",[0. 0. 0. ... 0. 0. 0.]
Muy buen producto y estaba con una muy buena oferta,"['buen', 'producto', 'buena', 'oferta']",[0. 0. 0. ... 0. 0. 0.]
